user_id,created_at,country,plan_type,user_age,post_id,post_category,post_created_at,votes_received,user_total_posts,days_since_signup,device_type,days_since_signup_calc,reason_code
U01754,2025-01-17 07:05:21,US,free,39.0,P0007502,sports,2024-12-18 16:05:21,3,6,0,web,-30.0,post_before_signup;
U00707,2024-10-07 17:32:12,MX,pro,27.0,P0003002,gaming,2024-09-27 12:32:12,13,11,0,mobile,-11.0,post_before_signup;
U00503,2025-01-13 13:27:33,US,free,16.0,P0002095,health,2024-12-14 01:27:33,7,9,0,web,-31.0,post_before_signup;
U01763,2024-12-02 12:42:25,BR,free,39.0,P0007543,music,2024-11-08 11:42:25,5,13,0,web,-25.0,post_before_signup;
U01122,2024-04-28 09:03:25,US,pro,22.0,P0004783,education,2024-03-29 16:03:25,11,6,0,mobile,-30.0,post_before_signup;
U00530,2024-07-13 01:31:07,US,free,25.0,P0002209,finance,2024-07-03 07:31:07,11,6,0,web,-10.0,post_before_signup;
U01435,2025-08-29 03:19:13,US,free,36.0,P0006144,music,2025-08-15 02:19:13,0,10,0,web,-15.0,post_before_signup;
U01785,2024-04-30 02:20:44,MX,free,26.0,P0007643,sports,2024-03-30 23:20:44,10,3,0,mobile,-31.0,post_before_signup;
U00778,2025-06-20 03:24:23,US,free,28.0,P0003338,music,2025-05-22 10:24:23,9,6,0,web,-29.0,post_before_signup;
U00856,2024-12-16 12:52:44,BR,free,23.0,P0003699,travel,2024-11-24 02:52:44,9,6,0,mobile,-23.0,post_before_signup;
U00156,2024-12-08 22:29:25,MX,free,21.0,P0000683,music,2024-11-11 07:29:25,7,3,0,mobile,-28.0,post_before_signup;
U00314,2025-11-23 11:00:37,CL,free,25.0,P0001394,sports,2025-11-21 09:00:37,7,3,0,mobile,-3.0,post_before_signup;
U01936,2024-02-01 20:08:44,US,free,42.0,P0008298,gaming,2024-01-29 03:08:44,4,15,0,mobile,-4.0,post_before_signup;
U00137,2024-03-12 19:58:23,BR,free,32.0,P0000587,tech,2024-03-03 10:58:23,4,22,0,web,-10.0,post_before_signup;
U01145,2024-07-22 02:43:00,CL,pro,24.0,P0004871,education,2024-06-30 13:43:00,4,5,0,web,-22.0,post_before_signup;
U01566,2025-02-02 01:10:19,PY,free,30.0,P0006689,tech,2025-01-23 09:10:19,4,6,0,web,-10.0,post_before_signup;
U00529,2025-03-28 06:48:17,US,free,22.0,P0002200,science,2025-02-27 17:48:17,12,6,0,web,-29.0,post_before_signup;
U01936,2024-02-01 20:08:44,US,free,42.0,P0008289,music,2024-01-18 13:08:44,4,15,0,mobile,-15.0,post_before_signup;
U01376,2025-06-07 16:33:51,MX,free,20.0,P0005880,tech,2025-05-14 10:33:51,3,18,0,web,-25.0,post_before_signup;
U00909,2024-08-21 13:25:38,US,free,25.0,P0003911,education,2024-08-01 10:25:38,4,14,0,mobile,-21.0,post_before_signup;
U01872,2024-10-18 07:47:02,ES,pro,32.0,P0008044,tech,2024-09-18 15:47:02,8,2,0,mobile,-30.0,post_before_signup;
U01884,2024-07-22 02:36:25,CO,pro,31.0,P0008110,finance,2024-06-30 11:36:25,2,5,0,mobile,-22.0,post_before_signup;
U00938,2024-01-17 08:32:05,CO,free,26.0,P0004057,finance,2023-12-26 00:32:05,12,2,0,web,-23.0,post_before_signup;
U00646,2025-03-29 12:16:42,ES,free,19.0,P0002674,education,2025-03-25 22:16:42,6,4,0,mobile,-4.0,post_before_signup;
U01397,2024-12-30 01:52:42,BR,free,30.0,P0005977,science,2024-12-05 14:52:42,5,7,0,web,-25.0,post_before_signup;
U00980,2024-04-10 17:59:36,AR,free,,P0004248,science,2024-03-28 21:59:36,3,14,0,desktop,-13.0,post_before_signup;
U01052,2025-05-07 19:15:52,CL,pro,28.0,P0004533,gaming,2025-04-28 18:15:52,2,3,0,web,-10.0,post_before_signup;
U00819,2024-04-26 02:18:59,BR,free,26.0,P0003551,travel,2024-03-28 17:18:59,10,29,0,web,-29.0,post_before_signup;
U00356,2025-08-22 03:30:27,MX,free,18.0,P0001567,music,2025-07-22 21:30:27,6,6,0,web,-31.0,post_before_signup;
U01746,2025-10-10 00:12:03,PE,free,25.0,P0007459,finance,2025-09-20 16:12:03,5,9,0,web,-20.0,post_before_signup;
U01098,2024-03-24 08:07:40,CL,free,29.0,P0004691,science,2024-03-06 17:07:40,9,3,0,web,-18.0,post_before_signup;
U00207,2024-02-03 03:31:49,PY,free,37.0,P0000905,gaming,2024-01-18 23:31:49,5,17,0,mobile,-16.0,post_before_signup;
U00082,2024-05-13 18:02:08,BR,free,36.0,P0000313,science,2024-05-03 23:02:08,1,10,0,desktop,-10.0,post_before_signup;
U00976,2024-12-20 17:16:17,BR,enterprise,28.0,P0004230,tech,2024-12-15 19:16:17,3,15,0,web,-5.0,post_before_signup;
U00741,2025-03-07 12:13:22,CL,pro,16.0,P0003166,tech,2025-02-18 16:13:22,18,5,1,mobile,-17.0,post_before_signup;
U00909,2024-08-21 13:25:38,US,free,25.0,P0003909,science,2024-08-08 12:25:38,8,14,0,web,-14.0,post_before_signup;
U01415,2024-12-24 07:16:48,UY,pro,30.0,P0006039,sports,2024-11-29 12:16:48,15,10,0,web,-25.0,post_before_signup;
U00576,2024-02-10 22:47:44,PY,free,16.0,P0002432,music,2024-01-21 13:47:44,8,9,0,web,-21.0,post_before_signup;
U01396,2025-06-16 20:42:27,MX,pro,20.0,P0005974,gaming,2025-06-12 04:42:27,10,1,0,mobile,-5.0,post_before_signup;
U00278,2025-02-06 12:25:28,UY,free,41.0,P0001235,tech,2025-02-04 00:25:28,6,6,0,web,-3.0,post_before_signup;
